# p     P_infinity
0.05  0.142909950067
0.06  0.144340978537
0.07  0.147408364124
0.08  0.15274852789
0.09  0.162734096042
0.1  0.173126155084
0.11  0.187075102781
0.12  0.208117857474
0.13  0.232158472892
0.14  0.261079441043
0.15  0.301417667142
0.16  0.348803615263
0.17  0.402905560016
0.18  0.473324261759
0.19  0.535321072211
0.2  0.617286359762
0.21  0.680701048318
0.22  0.752048141449
0.23  0.809995163862
0.24  0.854109110831
0.25  0.885621550984
0.26  0.913038706199
0.27  0.933387011949
0.28  0.948912318224
0.29  0.960233745437
0.3  0.968961162692
