p       P_s          P_infty      chi
0.0500  0.00000000  0.05789458   2.53655503e+03
0.0600  0.00000000  0.05827706   2.92172480e+03
0.0700  0.00000000  0.05998539   3.36436700e+03
0.0800  0.00000000  0.06384777   3.90569938e+03
0.0900  0.00000000  0.06827668   4.51042030e+03
0.1000  0.00020000  0.07406464   5.26009156e+03
0.1100  0.00020000  0.08138608   6.12360526e+03
0.1200  0.00100000  0.09308417   7.23475749e+03
0.1300  0.00360000  0.10497584   8.49824273e+03
0.1400  0.01060000  0.12511965   1.02136173e+04
0.1500  0.02880000  0.15192474   1.20104180e+04
0.1600  0.04280000  0.18694134   1.41724069e+04
0.1700  0.09840000  0.24022488   1.64182486e+04
0.1800  0.17560000  0.31220869   1.77014973e+04
0.1900  0.27860000  0.40941107   1.75423705e+04
0.2000  0.40800000  0.51295574   1.53852763e+04
0.2100  0.55980000  0.62928664   1.13329351e+04
0.2200  0.70600000  0.72387172   7.22509988e+03
0.2300  0.82420000  0.80009785   3.98804678e+03
0.2400  0.90640000  0.85283039   2.28023798e+03
